key,translation
LegacyDialog.334,我们跟公会签了新合同!趁热吃吧!
LegacyDialog.335,我听说你在找工作，{PlayerName}?有一种罕见的鱼…
LegacyDialog.336,你想要财宝，而渔民协会想要异国情调的鱼!让我们做一些交易吧!
LegacyDialog.337,你好，{PlayerName}！我们找到新工作了!快来看看吧!
LegacyDialog.338,小孩有这么大的胸部真的很奇怪吗?我妹妹的更大!
LegacyDialog.339,我的胸部真的那么好看吗?
LegacyDialog.347,我想从{Clothier}那买件新衣服穿，但是他没有我的尺寸……
LegacyDialog.348,你确定要在血月期间工作吗?有一份工作给你……
LegacyDialog.349,僵尸无法阻止渔民工会!只要把你从他们那里得到的金子当作危险津贴就行了!
LegacyDialog.350,天快亮了好吗?外面太可怕了，我睡不着……
LegacyDialog.351,你要出去吗?确保只有鱼会咬人，而不是僵尸……
LegacyDialog.352,现在有一大群怪物在附近跑来跑去！
LegacyDialog.353,唷……这是件好事，对吧?
LegacyDialog.354,什么……发生了什么?你……你救了我，对吧?非常感谢!
LegacyDialog.355,呃，我在哪......我吗?我是渔民协会的一流会员!也许将来我们可以互相帮助!
